ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sodium,SaturatedFat,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
1033,"CHEESE,PARMESAN,HARD",392,35.75,25.83,3.22,1602,16.41,68,0.8,1184,0.82,92,0,0.22,0.5
1034,"CHEESE,PORT DE SALUT",352,23.78,28.2,0.57,534,16.691,123,0.57,650,0.43,136,0,0.24,0.5
1035,"CHEESE,PROVOLONE",351,25.58,26.62,2.14,876,17.078,69,0.56,756,0.52,138,0,0.23,0.5
1036,"CHEESE,RICOTTA,WHOLE MILK",174,11.26,12.98,3.04,84,8.295,51,0.27,207,0.38,105,0,0.11,0.2
1037,"CHEESE,RICOTTA,PART SKIM MILK",138,11.39,7.91,5.14,125,4.927,31,0.31,272,0.44,125,0,0.07,0.1
1038,"CHEESE,ROMANO",387,31.8,26.94,3.63,1200,17.115,104,0.73,1064,0.77,86,0,0.23,0.5
1039,"CHEESE,ROQUEFORT",369,21.54,30.64,2,1809,19.263,90,,662,0.56,91,0,,
1040,"CHEESE,SWISS",380,26.93,27.8,5.38,192,17.779,92,1.32,791,0.2,77,0,0.38,0.5
1041,"CHEESE,TILSIT",340,24.41,25.98,1.88,753,16.775,102,,700,0.23,65,0,,
1042,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",371,18.13,31.79,3.7,1671,18.057,100,2.26,1045,0.63,132,0,0.8,7.5
1043,"CHEESE,PAST PROCESS,PIMENTO",375,22.13,31.2,1.73,1428,19.663,94,0.62,614,0.42,162,2.3,0.29,0.5
1044,"CHEESE,PAST PROCESS,SWISS",334,24.73,25.01,2.1,1370,16.045,85,1.23,772,0.61,216,0,0.34,0.5
1045,"CHEESE FD,COLD PK,AMERICAN",331,19.66,24.46,8.32,966,15.355,64,,497,0.84,363,0,,
1046,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",330,16.86,25.63,8.56,1284,15.057,98,5.59,682,0.26,255,0,0.63,2.5
1047,"CHEESE FD,PAST PROCESS,SWISS",323,21.92,24.14,4.5,1552,15.487,82,,723,0.6,284,0,,
1048,"CHEESE SPRD,PAST PROCESS,AMERICAN",290,16.41,21.23,8.73,1625,13.327,55,7.32,562,0.33,242,0,0.19,0.4
1049,"CREAM,FLUID,HALF AND HALF",130,2.96,11.5,4.3,41,7.158,37,0.16,105,0.07,130,0.9,0.33,0.2
1050,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",195,2.7,19.31,3.66,40,12.02,66,0.14,96,0.04,122,0.8,0.55,0.4
1052,"CREAM,FLUID,LT WHIPPING",292,2.17,30.91,2.96,34,19.337,111,0.11,69,0.03,97,0.6,0.88,0.6
1053,"CREAM,FLUID,HVY WHIPPING",345,2.05,37,2.79,38,23.032,137,0.11,65,0.03,75,0.6,1.06,0.7
1054,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",257,3.2,22.22,12.49,8,13.831,76,8,101,0.05,147,0,0.64,0.4
1055,"CREAM,SOUR,RED FAT,CULTURED",135,2.94,12,4.26,89,7.47,39,0.16,104,0.07,129,0.9,0.34,0.2
1056,"CREAM,SOUR,CULTURED",193,2.07,19.73,2.88,80,11.507,52,2.88,110,0.17,141,0.9,0.44,0.4
1057,EGGNOG,88,4.55,4.19,8.05,54,2.591,59,8.05,130,0.2,165,1.5,0.21,1.2
1058,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",178,3.25,16.57,4.68,48,13.272,5,4.68,113,0.03,162,0.9,1.34,0
1059,"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",63,3.33,3.46,4.74,57,0.768,2,,128,0.05,139,0.9,,
1060,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",63,3.33,3.4,4.74,57,3.101,2,4.74,128,0.05,139,0.9,0.13,0
1067,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",136,1,9.97,11.38,79,1.937,0,11.38,9,0.03,191,0,0.81,0
1068,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",136,1,9.97,11.38,79,9.304,0,,9,0.03,191,0,,
1069,"CREAM SUBSTITUTE,POWDERED",545,4.79,35.48,54.88,181,32.525,0,54.88,22,1.15,812,0,0.59,0
1070,"DESSERT TOPPING,POWDERED",577,4.9,39.92,52.54,122,36.723,0,52.54,17,0.03,166,0,1.52,0
1071,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",194,3.61,12.72,17.13,66,10.684,10,17.13,90,0.04,151,0.7,0.45,0.9
1072,"DESSERT TOPPING,PRESSURIZED",264,0.98,22.3,16.07,62,18.912,0,16.07,5,0.02,19,0,0.85,0
1073,"DESSERT TOPPING,SEMI SOLID,FRZ",318,1.25,25.31,23.05,25,21.783,0,23.05,6,0.12,18,0,0.96,0
1074,"SOUR CRM,IMITN,CULTURED",208,2.4,19.52,6.63,102,17.791,0,6.63,3,0.39,161,0,0.74,0
1076,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",61,1.75,3.41,6.16,78,3.037,0,,33,0.39,114,0,,
1077,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",61,3.15,3.25,4.8,43,1.865,10,5.05,113,0.03,132,0,0.07,1.3
1078,"MILK,PRODUCER,FLUID,3.7% MILKFAT",64,3.28,3.66,4.65,49,2.278,14,,119,0.05,151,1.5,,
1079,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",50,3.3,1.98,4.8,47,1.257,8,5.06,120,0.02,140,0.2,0.03,1.2
1080,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",51,3.48,1.92,4.97,52,1.195,8,,128,0.05,162,1,,1
1081,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",56,3.95,1.98,5.49,59,1.232,8,5.26,143,0.06,182,1.1,0.04,1
1082,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",42,3.37,0.97,4.99,44,0.633,5,5.2,125,0.03,150,0,0.01,1.2
1083,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",43,3.48,0.97,4.97,52,0.604,4,,128,0.05,162,1,,1
1084,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",48,3.93,1.17,5.52,58,0.728,4,,142,0.06,180,1.2,,1
1085,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34,3.37,0.08,4.96,42,0.056,2,5.09,122,0.03,156,0,0.01,1.2
1086,"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",37,3.57,0.25,5.02,53,0.162,2,5.02,129,0.05,171,1,0.01,1.2
1087,"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",41,3.96,0.25,5.56,59,0.162,2,,143,0.06,182,1.1,,1
1088,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40,3.31,0.88,4.79,105,0.548,4,4.79,116,0.05,151,1,0.05,0
1089,"MILK,LO NA,FLUID",61,3.1,3.46,4.46,3,2.154,14,4.46,101,0.05,253,0.9,0.08,1.3
1090,"MILK,DRY,WHL,W/ ADDED VITAMIN D",496,26.32,26.71,38.42,371,16.742,97,38.42,912,0.47,1330,8.6,0.58,10.5
1091,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",362,36.16,0.77,51.98,535,0.499,20,51.98,1257,0.32,1794,6.8,0,0
1092,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",358,35.1,0.72,52.19,549,0.467,18,52.19,1231,0.31,1705,5.6,0.01,11
1093,"MILK,DRY,NONFAT,CA RED",354,35.5,0.2,51.8,2280,0.124,2,,280,0.32,680,6.7,,
1094,"MILK,BUTTERMILK,DRIED",387,34.3,5.78,49,517,3.598,69,49,1184,0.3,1592,5.7,0.1,0.5
1095,"MILK,CND,COND,SWTND",321,7.91,8.7,54.4,127,5.486,34,54.4,284,0.19,371,2.6,0.16,0.2
1096,"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",134,6.81,7.56,10.04,106,4.591,29,10.04,261,0.19,303,1.9,0.14,2
1097,"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",78,7.55,0.2,11.35,115,0.121,4,11.35,290,0.29,332,1.2,0,2
1102,"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",83,3.17,3.39,10.34,60,2.104,12,9.54,112,0.24,167,0.9,0.07,1.3
1103,"MILK,CHOC,FLUID,COMM,RED FAT",76,2.99,1.9,12.13,66,1.177,8,9.55,109,0.24,169,0,0.04,1.2
1104,"MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D",63,3.24,1,10.44,61,0.616,3,9.94,116,0.27,170,0.9,0.02,1.1
1105,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",77,3.52,2.34,10.74,44,1.431,8,9.66,114,0.42,197,0.2,0.03,1.1
1106,"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",69,3.56,4.14,4.45,50,2.667,11,4.45,134,0.05,204,1.3,0.07,1.3
1107,"MILK,HUMAN,MATURE,FLUID",70,1.03,4.38,6.89,17,2.009,14,6.89,32,0.03,51,5,0.08,0.1
1108,"MILK,INDIAN BUFFALO,FLUID",97,3.75,6.89,5.18,52,4.597,19,,169,0.12,178,2.3,,
1109,"MILK,SHEEP,FLUID",108,5.98,7,5.36,44,4.603,27,,193,0.1,137,4.2,,
1110,"MILK SHAKES,THICK CHOC",119,3.05,2.7,21.15,111,1.681,11,20.85,132,0.31,224,0,0.05,1
